Quota,Category,State,Institute,Course,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,CR JAN 2025 0,CR JAN 2025 1,CR JAN 2025 2,CR JAN 2025 3,CR JUL 2025 0,CR JUL 2025 1,CR JUL 2025 2,CR JUL 2025 3
AIIMS-Inst. Pref,UR-AIIMS-IP,Uttar Pradesh,"AIIMS, Rai Bareli",PMR,-,-,-,-,-,-,-,-,-,25021,42871,-,-
AIIMS-All India,OBC,Jammu and Kashmir,"AIIMS, Jammu",BIOCHEMISTRY,-,-,-,-,-,10918,11807,12450,22872,10037,7600,14265,43170
AIIMS-Inst. Pref,UR-AIIMS-IP,Uttar Pradesh,"AIIMS, Rai Bareli",PHARMACOLOGY,-,-,-,-,-,-,-,-,-,-,43503,-,-
AIIMS-Inst. Pref,UR-AIIMS-IP,Uttar Pradesh,"AIIMS, Rai Bareli",IHBT,-,-,-,-,-,-,-,-,-,43798,-,-,-
JIPMER-All India,ST-PwD,Pondicherry,"JIPMER, Puducherry",EMERGENCY MEDICINE,-,-,-,-,-,-,-,-,-,43922,-,-,-
JIPMER-All India,ST-PwD,Pondicherry,"JIPMER, Puducherry",RADIATION ONCOLOGY,-,-,-,-,-,-,-,-,-,-,43922,-,-
AIIMS-All India,ST,West Bengal,"AIIMS, Kalyani",PHYSIOLOGY,-,-,-,-,-,-,-,-,-,27761,25300,37308,44113
AIIMS-All India,UR,Jammu and Kashmir,"AIIMS, Jammu",PHYSIOLOGY,-,-,-,-,-,4403,5578,9439,-,5129,5129,6195,44117
AIIMS-All India,UR,West Bengal,"AIIMS, Kalyani",PHYSIOLOGY,-,-,-,-,-,-,-,-,-,-,3553,7098,44189
JIPMER-All India,UR-PwD,Pondicherry,"JIPMER, Puducherry",PSYCHIATRY,-,-,-,-,-,-,-,-,-,20715,44418,414,414
AIIMS-All India,UR-PwD,Madhya Pradesh,"AIIMS, Bhopal",PATHOLOGY,-,-,-,-,-,-,-,-,-,44798,44798,-,-
AIIMS-All India,OBC,West Bengal,"AIIMS, Kalyani",PHYSIOLOGY,-,-,-,-,-,11955,11648,16182,-,10620,10737,16373,45227
