Round,AI Rank,State,Institute,Course,Quota,Category
2,6798,Gujarat,"AIIMS, Rajkot",ANATOMY,AIIMS-All India,UR
2,6808,Delhi,"AIIMS, Delhi",OBG,AIIMS-All India,ST
2,6938,Assam,"AIIMS, Guwahati",PATHOLOGY,AIIMS-All India,OBC
2,6940,Uttar Pradesh,"AIIMS, Gorakhpur",GENERAL MEDICINE,AIIMS-All India,ST
2,6975,Chhattisgarh,"AIIMS, Raipur",FORENSIC MEDICINE,AIIMS-All India,OBC
2,6977,Punjab,"AIIMS, Bathinda",IHBT,AIIMS-All India,OBC
2,6982,Odisha,"AIIMS, Bhubaneswar",IHBT,AIIMS-All India,OBC
2,7004,Uttarakhand,"AIIMS, Rishikesh",PSYCHIATRY,AIIMS-All India,SC
2,7035,Himachal Pradesh,"AIIMS, Bilaspur, Himachal",ANAESTHESIOLOGY,AIIMS-All India,SC
2,7080,Telangana,"AIIMS, Bibinagar",GENERAL SURGERY,AIIMS-All India,SC
2,7177,Rajasthan,"AIIMS, Jodhpur",COMMUNITY MEDICINE,AIIMS-All India,OBC
2,7179,Delhi,"AIIMS, Delhi",PHYSIOLOGY,AIIMS-All India,OBC
2,7196,Maharashtra,"AIIMS, Nagpur",PAEDIATRIC SURGERY 6 YRS,AIIMS-Inst. Pref,UR-AIIMS-IP
2,7218,Pondicherry,"JIPMER, Puducherry",ANATOMY,JIPMER-All India,OBC
2,7219,Himachal Pradesh,"AIIMS, Bilaspur, Himachal",IHBT,AIIMS-All India,OBC
2,7269,Uttarakhand,"AIIMS, Rishikesh",ANATOMY,AIIMS-All India,OBC
2,7283,Rajasthan,"AIIMS, Jodhpur",ENT,AIIMS-Inst. Pref,UR-AIIMS-IP
2,7291,Odisha,"AIIMS, Bhubaneswar",EMERGENCY MEDICINE,AIIMS-All India,SC
2,7320,Madhya Pradesh,"AIIMS, Bhopal",PSYCHIATRY,AIIMS-All India,SC
2,7346,Maharashtra,"AIIMS, Nagpur",ANAESTHESIOLOGY,AIIMS-Inst. Pref,UR-AIIMS-IP
2,7370,Madhya Pradesh,"AIIMS, Bhopal",PHARMACOLOGY,AIIMS-All India,OBC
2,7373,Odisha,"AIIMS, Bhubaneswar",FORENSIC MEDICINE,AIIMS-All India,OBC
2,7390,Jharkhand,"AIIMS, Deoghar",PHARMACOLOGY,AIIMS-All India,OBC
2,7421,Delhi,"AIIMS, Delhi",BIOPHYSICS,AIIMS-Inst. Pref,UR-AIIMS-IP
2,7464,Bihar,"AIIMS, Patna",FORENSIC MEDICINE,AIIMS-All India,OBC
2,7515,Odisha,"AIIMS, Bhubaneswar",ANAESTHESIOLOGY,AIIMS-Inst. Pref,UR-AIIMS-IP
2,7528,Maharashtra,"AIIMS, Nagpur",EMERGENCY MEDICINE,AIIMS-All India,SC
2,7553,Pondicherry,"JIPMER, Puducherry",COMMUNITY MEDICINE,JIMPER-Inst. Pref,INST (JIPMER)
2,7570,West Bengal,"AIIMS, Kalyani",FORENSIC MEDICINE,AIIMS-All India,OBC
2,7584,Gujarat,"AIIMS, Rajkot",OBG,AIIMS-All India,SC
2,7685,Pondicherry,"JIPMER, Puducherry",OBG,JIPMER-All India,ST
2,7698,Uttar Pradesh,"AIIMS, Rai Bareli",OPHTHALMOLOGY,AIIMS-Inst. Pref,UR-AIIMS-IP
2,7730,Rajasthan,"AIIMS, Jodhpur",COMMUNITY MEDICINE,AIIMS-All India,OBC
2,7741,Jharkhand,"AIIMS, Deoghar",MICROBIOLOGY,AIIMS-All India,OBC
2,7760,Delhi,"AIIMS, Delhi",ANAESTHESIOLOGY,AIIMS-Inst. Pref,UR-AIIMS-IP
2,7862,Odisha,"AIIMS, Bhubaneswar",COMMUNITY MEDICINE,AIIMS-All India,OBC
2,8004,Uttar Pradesh,"AIIMS, Gorakhpur",OBG,AIIMS-All India,SC
2,8021,Bihar,"AIIMS, Patna",GENERAL SURGERY,AIIMS-All India,SC
2,8078,Odisha,"AIIMS, Bhubaneswar",ANAESTHESIOLOGY,AIIMS-Inst. Pref,UR-AIIMS-IP
2,8118,Gujarat,"AIIMS, Rajkot",FORENSIC MEDICINE,AIIMS-All India,OBC
