Quota,Category,State,Institute,Course,Fee,CR 2025 1,CR 2025 2,CR 2025 3
AI,ST,Uttar Pradesh,"Govt Med Coll, Auraiya",MBBS,24000,-,-,125968(1)
AI,SC,Telangana,"Govt Med Coll, Nalgonda",MBBS,14000,97450(3),123102(3),126040(4)
AI,ST,Uttar Pradesh,"Auton. State Med Coll, Jaunpur",MBBS,24000,114568(1),119066(1),126062(1)
AI,ST,Uttar Pradesh,"Auto. State Med Coll, Pilibhit",MBBS,24000,114856(1),114856(1),126069(1)
AI,ST,Maharashtra,"MPGIMER, Nashik",MBBS,158600,72412(1),113939(1),126140(1)
AI,SC,Andhra Pradesh,SVIMS-Sri Padmavathi,MBBS,67900,76073(4),122723(4),126148(4)
AI,SC,Maharashtra,"Government Med Coll, Buldhana",MBBS,158600,99496(2),116927(2),126190(2)
AI,SC,Karnataka,Karwar Inst of Med Sciences,MBBS,64350,94467(3),118367(3),126484(3)
AI,SC,Telangana,"Government Med Coll, Kamareddy",MBBS,14000,104069(2),126592(2),126592(2)
AI,SC,Telangana,"Government Med Coll, Sangareddy",MBBS,14000,106139(3),126644(3),126644(3)
AI,SC,Maharashtra,"Government Med Coll, Sindhudurg",MBBS,158600,96743(2),113844(2),126698(3)
AI,ST,Kerala,"Govt Med Coll, Manjeri",MBBS,23150,111918(1),125063(1),126801(1)
AI,SC,West Bengal,"Diamond Harbour Govt MC, WB",MBBS,9000,80173(3),117722(4),126854(5)
AI,ST,Chhattisgarh,"BaliramKashyap NDMC, Jagdalpur",MBBS,50000,111624(1),126924(1),126924(1)
AI,SC,Jammu and Kashmir,"Government Medical Coll, Doda",MBBS,26250,101256(2),120789(3),126944(3)
AI,SC,Karnataka,"Haveri Inst of Med Sci, Haveri",MBBS,64350,100011(3),126658(3),126951(3)
AI,ST,Chhattisgarh,"Govt Med Coll, Rajnandgaon",MBBS,50000,119835(2),127131(2),127131(2)
AI,SC,Gujarat,"GMERS Medical College, Navsari",MBBS,375000,94348(2),119792(2),127277(3)
AI,SC,Pondicherry,"IGMC & RI, Pondicherry",MBBS,73700,62291(4),102421(4),127289(4)
AI,SC,Andhra Pradesh,"Government Med Coll, Eluru",MBBS,15000,80839(3),121536(3),127391(3)
AI,ST,Uttar Pradesh,"Auto. State Med Coll, Sultanpur",MBBS,24000,109960(1),109960(1),127412(1)
AI,SC,West Bengal,Bankura Sammilani Med Coll,MBBS,9000,78803(5),118252(5),127450(5)
AI,ST,Karnataka,"Shimoga IMS, Shimoga",MBBS,64350,86585(2),118018(2),127509(2)
AI,SC,West Bengal,Murshidabad Med Coll,MBBS,9000,88409(3),115750(3),127562(3)
AI,SC,Tamil Nadu,"Govt Med Coll, Pudukottai",MBBS,18073,63589(3),127563(3),127563(3)
AI,ST,Maharashtra,"Rajarshee CSM Govt MC,Kolhapur",MBBS,158600,105614(2),114844(2),127579(2)
AI,ST,West Bengal,"College of Med & SDH, Kolkata",MBBS,9000,102218(1),117345(1),127811(1)
AI,SC,Maharashtra,"Government Med Coll, Washim",MBBS,158600,101553(2),117095(2),128039(2)
AI,ST,Karnataka,"VIMS, Bellary",MBBS,64350,93673(3),128137(3),128137(3)
AI,SC,Jammu and Kashmir,"Government Med Coll,Anantnag",MBBS,34214,86092(5),106139(2),128337(3)
AI,ST,West Bengal,"MJN Med Coll, Coochbehar",MBBS,9000,128380(1),128380(1),128380(1)
AI,SC,Kerala,"GMC, Wayanad",MBBS,23150,-,130708(1),128490(1)
AI,SC,Telangana,"Government Med Coll,Mahabubabad",MBBS,14000,103876(3),128615(3),128537(3)
AI,ST,Uttar Pradesh,"Govt Med Coll, Kaushambi",MBBS,24000,116120(1),121022(1),128548(1)
AI,SC,Andhra Pradesh,"Government Med Coll, Nandyal",MBBS,15000,94142(3),121791(3),128615(3)
AI,SC,Telangana,"Govt Med Coll, Nagarkurnool",MBBS,14000,102374(3),128737(3),128708(3)
AI,SC,Karnataka,"Koppal Inst of MS, Koppal",MBBS,64350,93550(3),123145(3),128737(3)
AI,SC,Gujarat,"Govt Med Coll (GMERS), Porbandar",MBBS,375000,89070(2),122699(2),128747(2)
AI,ST,Uttar Pradesh,"Auton. State Med Coll,Ghazipur",MBBS,24000,113723(1),116411(1),129006(1)
AI,SC,Maharashtra,"Government Med Coll, Parbhani",MBBS,158600,97428(2),115710(2),129165(2)
AI,SC,Maharashtra,"Government Med Coll, Bhandara",MBBS,158600,100731(2),118086(2),129179(2)
AI,ST,Jammu and Kashmir,"Government Med Coll,Anantnag",MBBS,34214,87023(3),101128(1),129248(2)
AI,SC,Telangana,"Government Med Coll, Ramagundam",MBBS,14000,107615(4),129330(4),129330(4)
AI,SC,Telangana,"Govt Med Coll, Yadadri",MBBS,14000,105026(2),125382(2),129387(2)
AI,ST,Odisha,"MKCG, Berhampur",MBBS,22000,92855(2),127579(2),129391(2)
AI,SC,West Bengal,"Govt Med Coll, Raiganj",MBBS,9000,97078(2),123843(2),129534(4)
AI,ST,West Bengal,"College of Med & JNM, Kalyani",MBBS,9000,-,-,129596(1)
AI,SC,Kerala,"Govt Med Coll, Manjeri",MBBS,23150,60586(2),111644(2),129721(3)
AI,SC,West Bengal,"Govt Med Coll, Rampurhat",MBBS,9000,90561(2),125330(2),129745(3)
AI,SC,West Bengal,"Jhargram Govt Med Coll,Jhargram",MBBS,9000,91235(3),125187(3),129753(3)
AI,SC,Jammu and Kashmir,"Government Med Coll, Baramulla",MBBS,37636,84046(2),110777(3),129804(3)
AI,ST,Karnataka,"Gulbarga IMS, Gulbarga",MBBS,64350,107916(2),111918(2),129845(2)
AI,SC,Telangana,"Government Med Coll, Khammam",MBBS,14000,102052(2),129932(2),129932(2)
