State,Institute,Course,Quota,Fee,Beds,Bond Years,Bond Penalty,Stipend Year 1
Maharashtra,"Govt Med Coll, Akola",MBBS,AI,158600,840,1,1000000,18000
Maharashtra,"Govt Med Coll, Alibag",MBBS,AI,158600,420,1,1000000,18000
Maharashtra,"Government Med Coll, Ambernath",MBBS,AI,158600,Info Not Available,1,1000000,18000
Maharashtra,"Government Med Coll, Amravati",MBBS,AI,158600,430,1,1000000,18000
Maharashtra,"Govt Med Coll, Aurangabad",MBBS,AI,158600,1177,1,1000000,18000
Maharashtra,"Government Med Coll, Bhandara",MBBS,AI,158600,482,1,1000000,18000
Maharashtra,"Government Med Coll, Buldhana",MBBS,AI,158600,420,1,1000000,18000
Maharashtra,"Govt Med Coll, Chandrapur",MBBS,AI,158600,650,1,1000000,18000
Maharashtra,"Govt Med Coll, Gondia",MBBS,AI,158600,500,1,1000000,18000
Maharashtra,"Government Med Coll, Hingoli",MBBS,AI,158600,Info Not Available,1,1000000,18000
Maharashtra,"Govt Med Coll, Jalgaon",MBBS,AI,158600,441,1,1000000,18000
Maharashtra,"Government Med Coll, Jalna",MBBS,AI,158600,430,1,1000000,18000
Maharashtra,"Govt Med Coll, Latur",MBBS,AI,158600,750,1,1000000,18000
Maharashtra,"Govt Med Coll, Miraj",MBBS,AI,158600,725,1,1000000,18000
Maharashtra,"Govt Med Coll, Mumbai",MBBS,AI,158600,1026,1,1000000,18000
Maharashtra,"Govt Med Coll, Nagpur",MBBS,AI,158600,1866,1,1000000,18000
Maharashtra,"Govt Med Coll, Nandurbar",MBBS,AI,158600,315,1,1000000,18000
Maharashtra,"Government Med Coll, Osmanabad",MBBS,AI,158600,430,1,1000000,18000
Maharashtra,"Government Med Coll, Parbhani",MBBS,AI,158600,450,1,1000000,18000
Maharashtra,"Govt Med Coll, Satara",MBBS,AI,158600,361,1,1000000,18000
Maharashtra,"Government Med Coll, Sindhudurg",MBBS,AI,158600,Info Not Available,1,1000000,18000
Maharashtra,"Government Med Coll, Washim",MBBS,AI,158600,448,1,1000000,18000
Maharashtra,"Grant Med Coll, Mumbai",MBBS,AI,158600,2844,1,1000000,18000
Maharashtra,"HBT & RN Cooper, Mumbai",MBBS,AI,158600,940,1,1000000,18000
Maharashtra,"Indira Gandhi MedColl, Nagpur",MBBS,AI,158600,822,1,1000000,18000
Maharashtra,"Lokmanya Tilak, Sion, Mumbai",MBBS,AI,158600,1462,1,1000000,18000
Maharashtra,"MPGIMER, Nashik",MBBS,AI,158600,Info Not Available,1,1000000,18000
Maharashtra,"MGIMS, Wardha",MBBS,AI,169410,1000,1,1000000,18000
Maharashtra,"Rajarshee CSM Govt MC,Kolhapur",MBBS,AI,158600,665,1,1000000,18000
Maharashtra,"Rajiv Gandhi MC & CSMH, Thane",MBBS,AI,158600,500,1,1000000,18000
Maharashtra,"Seth GS, Mumbai",MBBS,AI,158600,2250,1,1000000,18000
Maharashtra,"Shri VR Naik Govt, Yavatmal",MBBS,AI,158600,756,1,1000000,18000
Maharashtra,"Sri Bhausaheb, Dhule",MBBS,AI,158600,545,1,1000000,18000
Maharashtra,"SRTT, Ambajogai",MBBS,AI,158600,518,1,1000000,18000
Maharashtra,"Topiwala, Mumbai",MBBS,AI,158600,1300,1,1000000,18000
Manipur,"JNIMS, Imphal",MBBS,AI,6000,643,Info Not Available,Info not available,Info not available
Manipur,"RIMS, Imphal",MBBS,AI,3000,1074,Info Not Available,Info not available,Info not available
Manipur,"Govt Med Coll, Churachandpur",MBBS,AI,6000,Info Not Available,Info Not Available,Info not available,Info not available
Meghalaya,"NEIGRIHMS, Shillong",MBBS,AI,16600,594,Info Not Available,Info not available,Info not available
Mizoram,"Zoram Med Coll, Mizoram",MBBS,AI,49150,474,1,1000000,Info not available
Nagaland,NIMSR Kohima,MBBS,AI,60000,Info Not Available,Info Not Available,Info not available,Info not available
Pondicherry,"IGMC & RI, Pondicherry",MBBS,AI,73700,750,0,0,20000
Punjab,"DrBRAmbedkar State IMS,Mohali",MBBS,AI,192000,420,1,200000,15000
Punjab,"Govt Med Coll, Amritsar",MBBS,AI,192000,951,1,200000,15000
Punjab,"Govt Med Coll, Patiala",MBBS,AI,192000,1130,1,200000,15000
Punjab,"Guru Govind Singh, Faridkot",MBBS,AI,192000,1000,1,200000,15000
Rajasthan,"SNMC, Jodhpur",MBBS,AI,96100,3101,2,1000000,20000
Rajasthan,"Government Med Coll, Alwar",MBBS,AI,96029,Info Not Available,2,1000000,20000
Rajasthan,"Govt Med Coll, Barmer",MBBS,AI,96029,Info Not Available,2,1000000,20000
Rajasthan,"Govt Med Coll, Bharatpur",MBBS,AI,96029,Info Not Available,2,1000000,20000
Rajasthan,"Govt Med Coll, Bhilwara",MBBS,AI,96029,Info Not Available,2,1000000,20000
Rajasthan,Government Medical College Bundi,MBBS,AI,96029,Info Not Available,2,1000000,20000
Rajasthan,"Government Med Coll,Chittorgarh",MBBS,AI,96029,Info Not Available,2,1000000,20000
