State,Institute,Course,Quota,Category,Fee,CR 2025 1,CR 2025 2,CR 2025 3,CR 2025 4
Maharashtra,"Grant Med Coll, Mumbai",RADIO DIAGNOSIS,AIQ,EWS,"₹ 1,57,100",211,509,509,-
Uttar Pradesh,"SGPGI, Lucknow",NUCLEAR MEDICINE,AIQ,GEN,"₹ 35,000",526,526,526,-
Kerala,"Govt Med Coll, Kozhikode",RADIO DIAGNOSIS,AIQ,SC,"₹ 69,470",528,528,528,-
Delhi,"Lady Hardinge, Delhi",PAEDIATRICS,AIQ,GEN,"₹ 16,200",529,529,529,-
Karnataka,"Mysore Med Coll, Mysore",RADIO DIAGNOSIS,AIQ,GEN,"₹ 1,23,400",462,472,531,-
Rajasthan,"SMS, Jaipur",GENERAL MEDICINE,AIQ,GEN,"₹ 14,093",439,538,538,-
Delhi,"MAMC, Delhi",GENERAL MEDICINE,AIQ,OBC,"₹ 16,200",464,543,543,-
Uttar Pradesh,"IMS(BHU), Varanasi",DERMATOLOGY,AIQ,GEN,"₹ 48,226",392,392,549,-
Delhi,"ABVIMS (Dr RML Hosp), Delhi",GENERAL MEDICINE,AIQ,ST,"₹ 51,000",552,552,552,-
Kerala,"Medical College, Trivandrum",RADIO DIAGNOSIS,AIQ,GEN,"₹ 69,470",118,118,555,-
Kerala,"Govt Med Coll, Kottayam",GENERAL MEDICINE,AIQ,OBC,"₹ 69,470",301,560,560,-
Delhi,"GB Pant IPGMER, Delhi",RADIO DIAGNOSIS,DU,GEN,"₹ 16,200",-,562,562,-
Maharashtra,"PD Hinduja, Mumbai",DNBRADIO DIAGNOSIS,DNB Post MBBS,GEN,"₹ 1,25,000",612,773,565,-
Andhra Pradesh,"SVIMS, Tirupati",RADIO DIAGNOSIS,AIQ,GEN,"₹ 1,75,000",521,567,567,-
Karnataka,"Bangalore Med Coll, Bangalore",RADIO DIAGNOSIS,AIQ,GEN,"₹ 1,23,400",80,80,571,-
Kerala,"Govt Med Coll, Kottayam",DERMATOLOGY,AIQ,OBC,"₹ 69,470",577,577,577,-
Maharashtra,"Govt Med Coll, Akola",RADIO DIAGNOSIS,AIQ,GEN,"₹ 1,57,100",585,585,585,-
Kerala,"Medical College, Trivandrum",GENERAL MEDICINE,AIQ,OBC,"₹ 69,470",437,588,588,-
Maharashtra,"Indira Gandhi MedColl, Nagpur",RADIO DIAGNOSIS,AIQ,GEN,"₹ 1,57,100",553,592,592,-
Kerala,"Govt Med Coll, Kottayam",RADIO DIAGNOSIS,AIQ,OBC,"₹ 69,470",259,595,595,-
Uttar Pradesh,"JNMC (AMU), Aligarh",RADIO DIAGNOSIS,AIQ,OBC,"₹ 54,700",395,596,596,-
Delhi,"IndianRailwayPGInst,New Delhi",GENERAL MEDICINE,AIQ,GEN,"₹ 16,200",-,597,597,-
Tamil Nadu,"Stanley Med Coll, Chennai",RADIO DIAGNOSIS,AIQ,GEN,"₹ 50,000",399,606,606,-
Maharashtra,"Lokmanya Tilak, Sion, Mumbai",DERMATOLOGY,AIQ,GEN,"₹ 1,57,100",102,610,610,-
Delhi,"VMMC, Delhi",RADIO DIAGNOSIS,AIQ,SC,"₹ 15,000",615,615,615,-
Delhi,"ABVIMS (Dr RML Hosp), Delhi",PSYCHIATRY,AIQ,GEN,"₹ 51,000",618,618,618,-
Karnataka,"Bangalore Med Coll, Bangalore",GENERAL MEDICINE,AIQ,OBC,"₹ 1,23,400",620,620,620,-
Karnataka,"Mysore Med Coll, Mysore",GENERAL MEDICINE,AIQ,GEN,"₹ 1,23,400",624,624,624,-
Haryana,"Pt BD Sharma, Rohtak",GENERAL MEDICINE,AIQ,EWS,"₹ 1,25,000",633,633,633,-
Gujarat,"BJMC, Ahmedabad",DERMATOLOGY,AIQ,GEN,"₹ 30,000",634,634,634,-
Uttar Pradesh,"MLN Med Coll, Allahabad",RADIO DIAGNOSIS,AIQ,GEN,"₹ 24,000",638,638,638,-
