S. No.,State,Management of college,College Name,Course Name,Seats
3694,Madhya Pradesh,Govt,"Netaji Subhash Chandra Bose Medical College, Jabalpur",MS - General Surgery,25
3695,Madhya Pradesh,Govt,"Netaji Subhash Chandra Bose Medical College, Jabalpur",MS - Obstetrics & Gynaecology,21
3696,Madhya Pradesh,Govt,"Netaji Subhash Chandra Bose Medical College, Jabalpur",MS - Ophthalmology,10
3697,Madhya Pradesh,Govt,"Netaji Subhash Chandra Bose Medical College, Jabalpur",MS - Orthopaedics,13
3698,Madhya Pradesh,Govt,"Netaji Subhash Chandra Bose Medical College, Jabalpur",MD - Psychiatry,3
3699,Madhya Pradesh,Govt,"Netaji Subhash Chandra Bose Medical College, Jabalpur",MD - Physiology,6
3700,Madhya Pradesh,Govt,"Netaji Subhash Chandra Bose Medical College, Jabalpur",MD - Radiotherapy/ Radiation Oncology,5
3701,Madhya Pradesh,Govt,"Netaji Subhash Chandra Bose Medical College, Jabalpur",MD - Paediatrics,8
3702,Madhya Pradesh,Govt,"Netaji Subhash Chandra Bose Medical College, Jabalpur",MS - ENT,5
3703,Madhya Pradesh,Govt,"Netaji Subhash Chandra Bose Medical College, Jabalpur",MD - Pathology,10
3704,Madhya Pradesh,Govt,"Netaji Subhash Chandra Bose Medical College, Jabalpur",MD - General Medicine,22
3705,Madhya Pradesh,Govt,"Netaji Subhash Chandra Bose Medical College, Jabalpur",MD - Microbiology,5
3706,Madhya Pradesh,Govt,"Netaji Subhash Chandra Bose Medical College, Jabalpur","MD - Social & Preventive Medicine / Community
Medicine",10
3707,Madhya Pradesh,Trust,Peoples College of Medical Sciences & Research Centre Bhanpur Bhopal,MD - Emergency Medicine,5
3708,Madhya Pradesh,Trust,Peoples College of Medical Sciences & Research Centre Bhanpur Bhopal,MD - Anaesthesiology,8
3709,Madhya Pradesh,Trust,Peoples College of Medical Sciences & Research Centre Bhanpur Bhopal,MD - Bio-Chemistry,2
3710,Madhya Pradesh,Trust,Peoples College of Medical Sciences & Research Centre Bhanpur Bhopal,"MD - Dermatology , Venereology & Leprosy",5
3711,Madhya Pradesh,Trust,Peoples College of Medical Sciences & Research Centre Bhanpur Bhopal,"MD - Forensic Medicine/Forensic Medicine &
Toxicology",3
3712,Madhya Pradesh,Trust,Peoples College of Medical Sciences & Research Centre Bhanpur Bhopal,MD - General Medicine,8
3713,Madhya Pradesh,Trust,Peoples College of Medical Sciences & Research Centre Bhanpur Bhopal,MD - Microbiology,3
3714,Madhya Pradesh,Trust,Peoples College of Medical Sciences & Research Centre Bhanpur Bhopal,MD - Paediatrics,4
3715,Madhya Pradesh,Trust,Peoples College of Medical Sciences & Research Centre Bhanpur Bhopal,MD - Pathology,11
3716,Madhya Pradesh,Trust,Peoples College of Medical Sciences & Research Centre Bhanpur Bhopal,MD - Pharmacology,2
3717,Madhya Pradesh,Trust,Peoples College of Medical Sciences & Research Centre Bhanpur Bhopal,MD - Physiology,2
3718,Madhya Pradesh,Trust,Peoples College of Medical Sciences & Research Centre Bhanpur Bhopal,MD - Psychiatry,3
3719,Madhya Pradesh,Trust,Peoples College of Medical Sciences & Research Centre Bhanpur Bhopal,MD - Radio Diagnosis/Radiology,4
3720,Madhya Pradesh,Trust,Peoples College of Medical Sciences & Research Centre Bhanpur Bhopal,"MD - Social & Preventive Medicine / Community
Medicine",4
3721,Madhya Pradesh,Trust,Peoples College of Medical Sciences & Research Centre Bhanpur Bhopal,"MD - Tuberculosis & Respiratory Diseases / Pulmonary
Medicine",4
3722,Madhya Pradesh,Trust,Peoples College of Medical Sciences & Research Centre Bhanpur Bhopal,MD - Anatomy,2
3723,Madhya Pradesh,Trust,Peoples College of Medical Sciences & Research Centre Bhanpur Bhopal,MS - Ophthalmology,3
3724,Madhya Pradesh,Trust,Peoples College of Medical Sciences & Research Centre Bhanpur Bhopal,MS - ENT,3
3725,Madhya Pradesh,Trust,Peoples College of Medical Sciences & Research Centre Bhanpur Bhopal,MS - General Surgery,10
3726,Madhya Pradesh,Trust,Peoples College of Medical Sciences & Research Centre Bhanpur Bhopal,MS - Obstetrics & Gynaecology,9
3727,Madhya Pradesh,Trust,Peoples College of Medical Sciences & Research Centre Bhanpur Bhopal,MS - Orthopaedics,7
3728,Madhya Pradesh,Society,RKDF Medical College Hospital & Research Centre Jatkhedi Bhopal,MD - Emergency Medicine,3
3729,Madhya Pradesh,Society,"RKDF Medical College Hospital & Research Centre, Jatkhedi, Bhopal",MS - Otorhinolaryngology,3
3730,Madhya Pradesh,Society,"RKDF Medical College Hospital & Research Centre, Jatkhedi, Bhopal",MS - Orthopaedics,5
3731,Madhya Pradesh,Society,"RKDF Medical College Hospital & Research Centre, Jatkhedi, Bhopal",MS - General Surgery,10
3732,Madhya Pradesh,Society,"RKDF Medical College Hospital & Research Centre, Jatkhedi, Bhopal",MD - General Medicine,8
3733,Madhya Pradesh,Society,"RKDF Medical College Hospital & Research Centre, Jatkhedi, Bhopal",MD - Paediatrics,3
3734,Madhya Pradesh,Society,"RKDF Medical College Hospital & Research Centre, Jatkhedi, Bhopal",MD - Pharmacology,2
3735,Madhya Pradesh,Society,"RKDF Medical College Hospital & Research Centre, Jatkhedi, Bhopal",MD - Bio-Chemistry,2
3736,Madhya Pradesh,Society,"RKDF Medical College Hospital & Research Centre, Jatkhedi, Bhopal",MD - Physiology,5
3737,Madhya Pradesh,Society,"RKDF Medical College Hospital & Research Centre, Jatkhedi, Bhopal",MD - Anaesthesiology,9
3738,Madhya Pradesh,Society,"RKDF Medical College Hospital & Research Centre, Jatkhedi, Bhopal",MS - Ophthalmology,4
3739,Madhya Pradesh,Society,"RKDF Medical College Hospital & Research Centre, Jatkhedi, Bhopal",MD - Anatomy,5
3740,Madhya Pradesh,Society,"RKDF Medical College Hospital & Research Centre, Jatkhedi, Bhopal",MD - Microbiology,3
3741,Madhya Pradesh,Society,"RKDF Medical College Hospital & Research Centre, Jatkhedi, Bhopal",MD - Radio Diagnosis,2
3742,Madhya Pradesh,Society,"RKDF Medical College Hospital & Research Centre, Jatkhedi, Bhopal",MD - Forensic Medicine,3
3743,Madhya Pradesh,Society,"RKDF Medical College Hospital & Research Centre, Jatkhedi, Bhopal","MD - Dermatology , Venereology & Leprosy",3
3744,Madhya Pradesh,Society,"RKDF Medical College Hospital & Research Centre, Jatkhedi, Bhopal",MD - Pathology,4
3745,Madhya Pradesh,Society,"RKDF Medical College Hospital & Research Centre, Jatkhedi, Bhopal",MS - Obstetrics and Gynaecology,2
3746,Madhya Pradesh,Society,"RKDF Medical College Hospital & Research Centre, Jatkhedi, Bhopal",MD - Community Medicine,7
3747,Madhya Pradesh,Society,"RKDF Medical College Hospital & Research Centre, Jatkhedi, Bhopal",MD-Psychiatry,5
3748,Madhya Pradesh,Trust,"Ruxmaniben Deepchand Gardi Medical College, Ujjain",MD - General Medicine,12
3749,Madhya Pradesh,Trust,"Ruxmaniben Deepchand Gardi Medical College, Ujjain",MD - Microbiology,3
3750,Madhya Pradesh,Trust,"Ruxmaniben Deepchand Gardi Medical College, Ujjain",MS - Ophthalmology,5
3751,Madhya Pradesh,Trust,"Ruxmaniben Deepchand Gardi Medical College, Ujjain",MS - Orthopaedics,6
3752,Madhya Pradesh,Trust,"Ruxmaniben Deepchand Gardi Medical College, Ujjain",MD - Pathology,12
3753,Madhya Pradesh,Trust,"Ruxmaniben Deepchand Gardi Medical College, Ujjain",MD - Paediatrics,4
3754,Madhya Pradesh,Trust,"Ruxmaniben Deepchand Gardi Medical College, Ujjain",MS - Obstetrics & Gynaecology,8
3755,Madhya Pradesh,Trust,"Ruxmaniben Deepchand Gardi Medical College, Ujjain",MD - Pharmacology,2
3756,Madhya Pradesh,Trust,"Ruxmaniben Deepchand Gardi Medical College, Ujjain",MD - Physiology,2
3757,Madhya Pradesh,Trust,"Ruxmaniben Deepchand Gardi Medical College, Ujjain",MD - Psychiatry,3
3758,Madhya Pradesh,Trust,"Ruxmaniben Deepchand Gardi Medical College, Ujjain",MD - Radio Diagnosis/Radiology,7
3759,Madhya Pradesh,Trust,"Ruxmaniben Deepchand Gardi Medical College, Ujjain",MD - Respiratory Medicine,4
3760,Madhya Pradesh,Trust,"Ruxmaniben Deepchand Gardi Medical College, Ujjain",MD - Anaesthesiology,9
3761,Madhya Pradesh,Trust,"Ruxmaniben Deepchand Gardi Medical College, Ujjain",MD - Anatomy,2
3762,Madhya Pradesh,Trust,"Ruxmaniben Deepchand Gardi Medical College, Ujjain",MD - Bio-Chemistry,3
3763,Madhya Pradesh,Trust,"Ruxmaniben Deepchand Gardi Medical College, Ujjain","MD - Social & Preventive Medicine / Community
Medicine",7
3764,Madhya Pradesh,Trust,"Ruxmaniben Deepchand Gardi Medical College, Ujjain","MD - Dermatology , Venereology & Leprosy",4
3765,Madhya Pradesh,Trust,"Ruxmaniben Deepchand Gardi Medical College, Ujjain",MS - ENT,5
3766,Madhya Pradesh,Trust,"Ruxmaniben Deepchand Gardi Medical College, Ujjain",MS - General Surgery,8
3767,Madhya Pradesh,Govt,"Shyam Shah Medical College, Rewa",MD - Physiology,6
3768,Madhya Pradesh,Govt,"Shyam Shah Medical College, Rewa",MD - Anaesthesiology,10
3769,Madhya Pradesh,Govt,"Shyam Shah Medical College, Rewa","MD - Social & Preventive Medicine / Community
Medicine",4
3770,Madhya Pradesh,Govt,"Shyam Shah Medical College, Rewa",MD - Bio-Chemistry,3
3771,Madhya Pradesh,Govt,"Shyam Shah Medical College, Rewa",MD - Radio Diagnosis,6
3772,Madhya Pradesh,Govt,"Shyam Shah Medical College, Rewa",MD - Microbiology,4
3773,Madhya Pradesh,Govt,"Shyam Shah Medical College, Rewa",MD - Anatomy,5
3774,Madhya Pradesh,Govt,"Shyam Shah Medical College, Rewa",MS - Ophthalmology,10
3775,Madhya Pradesh,Govt,"Shyam Shah Medical College, Rewa",MD - Psychiatry,5
3776,Madhya Pradesh,Govt,"Shyam Shah Medical College, Rewa",MS - Orthopaedics,3
3777,Madhya Pradesh,Govt,"Shyam Shah Medical College, Rewa",MS - General Surgery,20
3778,Madhya Pradesh,Govt,"Shyam Shah Medical College, Rewa","MD - Dermatology , Venereology & Leprosy",3
3779,Madhya Pradesh,Govt,"Shyam Shah Medical College, Rewa",MS - Obstetrics & Gynaecology,9
3780,Madhya Pradesh,Govt,"Shyam Shah Medical College, Rewa","MD - Forensic Medicine/Forensic Medicine &
Toxicology",3
3781,Madhya Pradesh,Govt,"Shyam Shah Medical College, Rewa",MD - Pathology,6
3782,Madhya Pradesh,Govt,"Shyam Shah Medical College, Rewa",MD - Pharmacology,1
3783,Madhya Pradesh,Govt,"Shyam Shah Medical College, Rewa",MD - Paediatrics,12
3784,Madhya Pradesh,Govt,"Shyam Shah Medical College, Rewa",MS - ENT,3
3785,Madhya Pradesh,Govt,"Shyam Shah Medical College, Rewa",MD - General Medicine,19
3786,Madhya Pradesh,Trust,"Sri Aurobindo Medical College and Post Graduate Institute , Indore","MD - Tuberculosis & Respiratory Diseases / Pulmonary
Medicine",3
3787,Madhya Pradesh,Trust,"Sri Aurobindo Medical College and Post Graduate Institute , Indore",MS - Orthopaedics,12
3788,Madhya Pradesh,Trust,"Sri Aurobindo Medical College and Post Graduate Institute , Indore",MD - Radio Diagnosis/Radiology,17
3789,Madhya Pradesh,Trust,"Sri Aurobindo Medical College and Post Graduate Institute , Indore",MD - Radiotherapy/ Radiation Oncology,5
3790,Madhya Pradesh,Trust,"Sri Aurobindo Medical College and Post Graduate Institute , Indore",MD - Anatomy,7
3791,Madhya Pradesh,Trust,"Sri Aurobindo Medical College and Post Graduate Institute , Indore",MD - Pharmacology,2
3792,Madhya Pradesh,Trust,"Sri Aurobindo Medical College and Post Graduate Institute , Indore",MS - Ophthalmology,5
3793,Madhya Pradesh,Trust,"Sri Aurobindo Medical College and Post Graduate Institute , Indore",MS - ENT,4
3794,Madhya Pradesh,Trust,"Sri Aurobindo Medical College and Post Graduate Institute , Indore",MD - Pathology,19
3795,Madhya Pradesh,Trust,"Sri Aurobindo Medical College and Post Graduate Institute , Indore",MD - General Medicine,30
3796,Madhya Pradesh,Trust,"Sri Aurobindo Medical College and Post Graduate Institute , Indore","MD - Dermatology , Venereology & Leprosy",10
3797,Madhya Pradesh,Trust,"Sri Aurobindo Medical College and Post Graduate Institute , Indore",MD - Psychiatry,5
3798,Madhya Pradesh,Trust,"Sri Aurobindo Medical College and Post Graduate Institute , Indore",MD - Physiology,2
3799,Madhya Pradesh,Trust,"Sri Aurobindo Medical College and Post Graduate Institute , Indore",MD - Anaesthesiology,16
3800,Madhya Pradesh,Trust,"Sri Aurobindo Medical College and Post Graduate Institute , Indore","MD - Forensic Medicine/Forensic Medicine &
Toxicology",3
3801,Madhya Pradesh,Trust,"Sri Aurobindo Medical College and Post Graduate Institute , Indore",MD - Paediatrics,20
3802,Madhya Pradesh,Trust,"Sri Aurobindo Medical College and Post Graduate Institute , Indore",MS - Obstetrics & Gynaecology,20
3803,Madhya Pradesh,Trust,"Sri Aurobindo Medical College and Post Graduate Institute , Indore",MD - Emergency Medicine,3
3804,Madhya Pradesh,Trust,"Sri Aurobindo Medical College and Post Graduate Institute , Indore","MD - Social & Preventive Medicine / Community
Medicine",7
3805,Madhya Pradesh,Trust,"Sri Aurobindo Medical College and Post Graduate Institute , Indore",MD - Bio-Chemistry,2
3806,Madhya Pradesh,Trust,"Sri Aurobindo Medical College and Post Graduate Institute , Indore",MD - Microbiology,2
3807,Madhya Pradesh,Trust,"Sri Aurobindo Medical College and Post Graduate Institute , Indore",MS - General Surgery,30
3808,Madhya Pradesh,Trust,"Sri Aurobindo Medical College and Post Graduate Institute , Indore",MD - Community Medicine,7
3809,Maharashtra,Trust,"ACPM Medical College, Dhule",MD - Paediatrics,2
3810,Maharashtra,Trust,"ACPM Medical College, Dhule",MD - Microbiology,2
3811,Maharashtra,Trust,"ACPM Medical College, Dhule",MS - General Surgery,4
3812,Maharashtra,Trust,"ACPM Medical College, Dhule","MD - Dermatology , Venereology & Leprosy",3
3813,Maharashtra,Trust,"ACPM Medical College, Dhule",MD - General Medicine,10
3814,Maharashtra,Trust,"ACPM Medical College, Dhule",MS - Ophthalmology,3
3815,Maharashtra,Trust,"ACPM Medical College, Dhule",MS - Orthopaedics,6
3816,Maharashtra,Trust,"ACPM Medical College, Dhule",MD - Pathology,2
3817,Maharashtra,Trust,"ACPM Medical College, Dhule",MS - Obstetrics & Gynaecology,3
3818,Maharashtra,Govt,"All India Institute of Physical Med. and Rehabilitation, Mumbai",MD - Physical Medicine & Rehabilitation,4
3819,Maharashtra,Govt,"Armed Forces Medical College, Pune",Diploma in Hospital Administration,8
3820,Maharashtra,Govt,"Armed Forces Medical College, Pune",Diploma in Anaesthesia,15
3821,Maharashtra,Govt,"Armed Forces Medical College, Pune",MD - Radio Diagnosis/Radiology,7
3822,Maharashtra,Govt,"Armed Forces Medical College, Pune","MD - Dermatology , Venereology & Leprosy",4
3823,Maharashtra,Govt,"Armed Forces Medical College, Pune",MD - Pathology,10
3824,Maharashtra,Govt,"Armed Forces Medical College, Pune",MD - Anatomy,4
3825,Maharashtra,Govt,"Armed Forces Medical College, Pune",MD - Paediatrics,8
3826,Maharashtra,Govt,"Armed Forces Medical College, Pune",MD - Microbiology,9
3827,Maharashtra,Govt,"Armed Forces Medical College, Pune",MD - Hospital Administration,8
3828,Maharashtra,Govt,"Armed Forces Medical College, Pune",MD - General Medicine,22
3829,Maharashtra,Govt,"Armed Forces Medical College, Pune",MD - Anaesthesiology,15
3830,Maharashtra,Govt,"Armed Forces Medical College, Pune",MS - ENT,6
3831,Maharashtra,Govt,"Armed Forces Medical College, Pune",MS - General Surgery,21
3832,Maharashtra,Govt,"Armed Forces Medical College, Pune","MD - Social & Preventive Medicine / Community
Medicine",12
3833,Maharashtra,Govt,"Armed Forces Medical College, Pune",MS - Ophthalmology,8
3834,Maharashtra,Govt,"Armed Forces Medical College, Pune",MD Biochemistry,2
3835,Maharashtra,Govt,"Armed Forces Medical College, Pune",MD Immuno haematology and blood transfusion,2
3836,Maharashtra,Govt,"Armed Forces Medical College, Pune",MS Obstetrics and Gynaecology,8
3837,Maharashtra,Govt,"Armed Forces Medical College, Pune",MS Orthopaedics,6
3838,Maharashtra,Govt,"Armed Forces Medical College, Pune",MD Sports medicine,2
3839,Maharashtra,Govt,"Armed Forces Medical College, Pune",MD Respiratory medicine,3
3840,Maharashtra,Govt,"Armed Forces Medical College, Pune",MD Psychiatry,5
3841,Maharashtra,Govt,"Armed Forces Medical College, Pune",MD Physiology,4
3842,Maharashtra,Govt,"Armed Forces Medical College, Pune",MD Pharmacology,2
3843,Maharashtra,Govt,"Armed Forces Medical College, Pune",MD Geriatrics,2
3844,Maharashtra,Govt,"Armed Forces Medical College, Pune",MD Forensic medicine and toxicology,2
3845,Maharashtra,Trust,"Ashwini Rural Medical College, Hospital & Research Centre, Solapur",MD - Anaesthesiology,4
3846,Maharashtra,Trust,"Ashwini Rural Medical College, Hospital & Research Centre, Solapur","MD - Dermatology , Venereology & Leprosy",3
3847,Maharashtra,Trust,"Ashwini Rural Medical College, Hospital & Research Centre, Solapur",MD - General Medicine,7
3848,Maharashtra,Trust,"Ashwini Rural Medical College, Hospital & Research Centre, Solapur",MD - Paediatrics,4
3849,Maharashtra,Trust,"Ashwini Rural Medical College, Hospital & Research Centre, Solapur",MD - Pathology,4
3850,Maharashtra,Trust,"Ashwini Rural Medical College, Hospital & Research Centre, Solapur",MD - Radio Diagnosis/Radiology,4
3851,Maharashtra,Trust,"Ashwini Rural Medical College, Hospital & Research Centre, Solapur",MS - Ophthalmology,3
3852,Maharashtra,Trust,"Ashwini Rural Medical College, Hospital & Research Centre, Solapur",MS - ENT,2
3853,Maharashtra,Trust,"Ashwini Rural Medical College, Hospital & Research Centre, Solapur",MS - General Surgery,6
3854,Maharashtra,Trust,"Ashwini Rural Medical College, Hospital & Research Centre, Solapur",MS - Obstetrics & Gynaecology,6
3855,Maharashtra,Trust,"Ashwini Rural Medical College, Hospital & Research Centre, Solapur",MS - Orthopaedics,5
3856,Maharashtra,Govt,"B. J. Govt. Medical College, Pune",MD - Psychiatry,7
3857,Maharashtra,Govt,"B. J. Govt. Medical College, Pune","MD - Dermatology , Venereology & Leprosy",8
3858,Maharashtra,Govt,"B. J. Govt. Medical College, Pune",MD - Paediatrics,12
3859,Maharashtra,Govt,"B. J. Govt. Medical College, Pune",MS - Orthopaedics,12
3860,Maharashtra,Govt,"B. J. Govt. Medical College, Pune","MD - Tuberculosis & Respiratory Diseases / Pulmonary
Medicine",5
3861,Maharashtra,Govt,"B. J. Govt. Medical College, Pune","MD - Social & Preventive Medicine / Community
Medicine",10
3862,Maharashtra,Govt,"B. J. Govt. Medical College, Pune",MS - General Surgery,17
3863,Maharashtra,Govt,"B. J. Govt. Medical College, Pune",MD - Physiology,4
3864,Maharashtra,Govt,"B. J. Govt. Medical College, Pune",MD - Pharmacology,8
3865,Maharashtra,Govt,"B. J. Govt. Medical College, Pune",MS - Ophthalmology,10
3866,Maharashtra,Govt,"B. J. Govt. Medical College, Pune",MD - Pathology,16
3867,Maharashtra,Govt,"B. J. Govt. Medical College, Pune",MD - Emergency Medicine,3
3868,Maharashtra,Govt,"B. J. Govt. Medical College, Pune",MD - General Medicine,16
3869,Maharashtra,Govt,"B. J. Govt. Medical College, Pune",MD anesthesiology,18
3870,Maharashtra,Govt,"B. J. Govt. Medical College, Pune",MD Anatomy,4
3871,Maharashtra,Govt,"B. J. Govt. Medical College, Pune",MD Biochemistry,9
3872,Maharashtra,Govt,"B. J. Govt. Medical College, Pune",MS otorhinolaryngology,8
3873,Maharashtra,Govt,"B. J. Govt. Medical College, Pune",MD Forensic medicine and toxicology,6
3874,Maharashtra,Govt,"B. J. Govt. Medical College, Pune",MD Microbiology,10
3875,Maharashtra,Govt,"B. J. Govt. Medical College, Pune",MS Obstetrics and Gynaecology,20
3876,Maharashtra,Govt,"B. J. Govt. Medical College, Pune",MD radiodiagnosis,13
3877,Maharashtra,Trust,"B.K.L. Walawalkar Rural Medical College, Ratnagiri",MD Anaesthesiology,5
3878,Maharashtra,Trust,"B.K.L. Walawalkar Rural Medical College, Ratnagiri",MD Paediatrics,2
3879,Maharashtra,Trust,"B.K.L. Walawalkar Rural Medical College, Ratnagiri",MS Orthopedics,4
3880,Maharashtra,Trust,"B.K.L. Walawalkar Rural Medical College, Ratnagiri",MS Obstetrics & Gynecology,3
3881,Maharashtra,Trust,"B.K.L. Walawalkar Rural Medical College, Ratnagiri",MD Radio Daiagnosis,3
3882,Maharashtra,Trust,"B.K.L. Walawalkar Rural Medical College, Ratnagiri",MS General Surgery,8
3883,Maharashtra,Trust,"B.K.L. Walawalkar Rural Medical College, Ratnagiri",MD Community Medicine,4
3884,Maharashtra,Trust,"B.K.L. Walawalkar Rural Medical College, Ratnagiri",MD General Medicine,8
3885,Maharashtra,Trust,"B.K.L. Walawalkar Rural Medical College, Ratnagiri",MD Pathology,4
3886,Maharashtra,Govt,"Bhabha Atomic Research Centre,Mumbai",MD - Nuclear Medicine,6
3887,Maharashtra,Trust,"Bharati Vidyapeeth Deemed University Medical College & Hospital, Sangli",MD - Emergency Medicine,2
3888,Maharashtra,Trust,"Bharati Vidyapeeth Deemed University Medical College & Hospital, Sangli",MD - Pharmacology,2
3889,Maharashtra,Trust,"Bharati Vidyapeeth Deemed University Medical College & Hospital, Sangli",MS - Obstetrics & Gynaecology,8
3890,Maharashtra,Trust,"Bharati Vidyapeeth Deemed University Medical College & Hospital, Sangli",MD - Radio Diagnosis/Radiology,8
3891,Maharashtra,Trust,"Bharati Vidyapeeth Deemed University Medical College & Hospital, Sangli",MS - General Surgery,6
3892,Maharashtra,Trust,"Bharati Vidyapeeth Deemed University Medical College & Hospital, Sangli",MS - ENT,3
3893,Maharashtra,Trust,"Bharati Vidyapeeth Deemed University Medical College & Hospital, Sangli",MD - Pathology,6
3894,Maharashtra,Trust,"Bharati Vidyapeeth Deemed University Medical College & Hospital, Sangli",MD - Psychiatry,3
3895,Maharashtra,Trust,"Bharati Vidyapeeth Deemed University Medical College & Hospital, Sangli",MD - Anaesthesiology,8
3896,Maharashtra,Trust,"Bharati Vidyapeeth Deemed University Medical College & Hospital, Sangli",MD - Bio-Chemistry,3
3897,Maharashtra,Trust,"Bharati Vidyapeeth Deemed University Medical College & Hospital, Sangli",MD - Physiology,3
3898,Maharashtra,Trust,"Bharati Vidyapeeth Deemed University Medical College & Hospital, Sangli",MD - General Medicine,15
3899,Maharashtra,Trust,"Bharati Vidyapeeth Deemed University Medical College & Hospital, Sangli",MS - Orthopaedics,6
3900,Maharashtra,Trust,"Bharati Vidyapeeth Deemed University Medical College & Hospital, Sangli",MD - Paediatrics,6
3901,Maharashtra,Trust,"Bharati Vidyapeeth Deemed University Medical College & Hospital, Sangli","MD - Dermatology , Venereology & Leprosy",3
3902,Maharashtra,Trust,"Bharati Vidyapeeth Deemed University Medical College & Hospital, Sangli",MS - Ophthalmology,4
3903,Maharashtra,Trust,"Bharati Vidyapeeth Deemed University Medical College & Hospital, Sangli",MD - Microbiology,3
3904,Maharashtra,Trust,"Bharati Vidyapeeth Deemed University Medical College & Hospital, Sangli","MD - Social & Preventive Medicine / Community
Medicine",6
3905,Maharashtra,Trust,"Bharati Vidyapeeth Deemed University Medical College & Hospital, Sangli",MD - Anatomy,3
3906,Maharashtra,Trust,"Bharati Vidyapeeth University Medical College, Pune",MD - Microbiology,4
3907,Maharashtra,Trust,"Bharati Vidyapeeth University Medical College, Pune",MD - Pathology,12
3908,Maharashtra,Trust,"Bharati Vidyapeeth University Medical College, Pune",MS - Orthopaedics,10
3909,Maharashtra,Trust,"Bharati Vidyapeeth University Medical College, Pune",MS - General Surgery,10
3910,Maharashtra,Trust,"Bharati Vidyapeeth University Medical College, Pune",MD - Bio-Chemistry,3
3911,Maharashtra,Trust,"Bharati Vidyapeeth University Medical College, Pune",MD - Psychiatry,5
3912,Maharashtra,Trust,"Bharati Vidyapeeth University Medical College, Pune",MD - Immuno Haematology & Blood Transfusion,2
3913,Maharashtra,Trust,"Bharati Vidyapeeth University Medical College, Pune",MD - Paediatrics,15
3914,Maharashtra,Trust,"Bharati Vidyapeeth University Medical College, Pune","MD - Social & Preventive Medicine / Community
Medicine",5
3915,Maharashtra,Trust,"Bharati Vidyapeeth University Medical College, Pune",MS - Ophthalmology,5
3916,Maharashtra,Trust,"Bharati Vidyapeeth University Medical College, Pune","MD - Dermatology , Venereology & Leprosy",4
3917,Maharashtra,Trust,"Bharati Vidyapeeth University Medical College, Pune","MD - Tuberculosis & Respiratory Diseases / Pulmonary
Medicine",4
3918,Maharashtra,Trust,"Bharati Vidyapeeth University Medical College, Pune",MD - Anaesthesiology,14
3919,Maharashtra,Trust,"Bharati Vidyapeeth University Medical College, Pune",MD - Emergency Medicine,3
3920,Maharashtra,Trust,"Bharati Vidyapeeth University Medical College, Pune",MD - Anatomy,3
3921,Maharashtra,Trust,"Bharati Vidyapeeth University Medical College, Pune",MD - Radio Diagnosis/Radiology,15
3922,Maharashtra,Trust,"Bharati Vidyapeeth University Medical College, Pune",MS - Obstetrics & Gynaecology,8
3923,Maharashtra,Trust,"Bharati Vidyapeeth University Medical College, Pune",MD - General Medicine,19
3924,Maharashtra,Trust,"Bharati Vidyapeeth University Medical College, Pune",MS - ENT,5
3925,Maharashtra,Trust,"Bharati Vidyapeeth University Medical College, Pune",MD - Pharmacology,4
3926,Maharashtra,Trust,"Bharati Vidyapeeth University Medical College, Pune",MD - Physiology,3
3927,Maharashtra,Trust,"Bharati Vidyapeeth University Medical College, Pune",MD Interventional Radiology,1
3928,Maharashtra,Govt,"Bombay Hospital Institute of Medical Sciences, Mumbai",M.D. - General Medicine,2
3929,Maharashtra,Govt,"Bombay Hospital Institute of Medical Sciences, Mumbai",M.D.- Paediatrics,2
3930,Maharashtra,Govt,"Bombay Hospital Institute of Medical Sciences, Mumbai",M.D.- Anaesthesia,1
3931,Maharashtra,Govt,"Bombay Hospital Institute of Medical Sciences, Mumbai",M.D.- Radio-diagnosis,2
3932,Maharashtra,Govt,"Bombay Hospital Institute of Medical Sciences, Mumbai",M.D.- Pathology,2
3933,Maharashtra,Govt,"Bombay Hospital Institute of Medical Sciences, Mumbai",M.S.- General Surgery,2
3934,Maharashtra,Govt,"Bombay Hospital Institute of Medical Sciences, Mumbai",M.S.- Orthopaedics,2
3935,Maharashtra,Govt,"Bombay Hospital Institute of Medical Sciences, Mumbai",M.S.- Ophthalmology,1
3936,Maharashtra,Govt,"Bombay Hospital Institute of Medical Sciences, Mumbai",M.S.- Obst. & Gynaec,3
3937,Maharashtra,Pvt,Datta Meghe Medical College Nagpur,MD - General Medicine,9
3938,Maharashtra,Pvt,Datta Meghe Medical College Nagpur,MS - General Surgery,9
3939,Maharashtra,Pvt,Datta Meghe Medical College Nagpur,MS  - Obstetrics & Gynaecology,2
3940,Maharashtra,Pvt,Datta Meghe Medical College Nagpur,MD - Paediatrics,3
3941,Maharashtra,Pvt,Datta Meghe Medical College Nagpur,MD- Psychiatry,3
3942,Maharashtra,Pvt,Datta Meghe Medical College Nagpur,MS - Orthopaedics,3
3943,Maharashtra,Pvt,Datta Meghe Medical College Nagpur,MD - Anaesthesiology,8
3944,Maharashtra,Pvt,Datta Meghe Medical College Nagpur,MD - Radio - Diagnosis,5
3945,Maharashtra,Pvt,Datta Meghe Medical College Nagpur,MD - Dermatology Venerology and Leprosy,5
3946,Maharashtra,Pvt,Datta Meghe Medical College Nagpur,MD - Pathology,4
3947,Maharashtra,Pvt,Datta Meghe Medical College Nagpur,MD - Emergency Medicine,3
3948,Maharashtra,Govt,"Dr Vaishampayan Memorial Medical College, Solapur",MD - Psychiatry,3
