S. No.,State,Management of college,College Name,Course Name,Seats
7243,Uttar Pradesh,Society,"Krishna Mohan Medical College & Hospital, Mathura",MS - Opthalmology,6
7244,Uttar Pradesh,Society,"Krishna Mohan Medical College & Hospital, Mathura",MD - Respiratory Medicine,4
7245,Uttar Pradesh,Society,"Krishna Mohan Medical College & Hospital, Mathura",MS - General Surgery,4
7246,Uttar Pradesh,Society,"Krishna Mohan Medical College & Hospital, Mathura",MS - Obstetrics & Gynaecology,4
7247,Uttar Pradesh,Society,"Krishna Mohan Medical College & Hospital, Mathura",MD - General Medicine,4
7248,Uttar Pradesh,Society,"Krishna Mohan Medical College & Hospital, Mathura",MD- Radiodiagnosis,4
7249,Uttar Pradesh,Govt,"LLRM Medical College, Meerut",Diploma in Radio-Diagnosis,1
7250,Uttar Pradesh,Govt,"LLRM Medical College, Meerut","MD - Social & Preventive Medicine / Community
Medicine",8
7251,Uttar Pradesh,Govt,"LLRM Medical College, Meerut",MS - Otorhinolaryngology,3
7252,Uttar Pradesh,Govt,"LLRM Medical College, Meerut",MD - Anaesthesiology,12
7253,Uttar Pradesh,Govt,"LLRM Medical College, Meerut",MD - General Medicine,18
7254,Uttar Pradesh,Govt,"LLRM Medical College, Meerut",MS - Obstetrics & Gynaecology,14
7255,Uttar Pradesh,Govt,"LLRM Medical College, Meerut",MD - Pharmacology,4
7256,Uttar Pradesh,Govt,"LLRM Medical College, Meerut",MD - Pathology,5
7257,Uttar Pradesh,Govt,"LLRM Medical College, Meerut",MS - Orthopaedics,5
7258,Uttar Pradesh,Govt,"LLRM Medical College, Meerut",Diploma in Orthopaedics,3
7259,Uttar Pradesh,Govt,"LLRM Medical College, Meerut",Diploma in Ophthalmology,1
7260,Uttar Pradesh,Govt,"LLRM Medical College, Meerut",MD - Paediatrics,11
7261,Uttar Pradesh,Govt,"LLRM Medical College, Meerut",MD - Anatomy,5
7262,Uttar Pradesh,Govt,"LLRM Medical College, Meerut",MD - Radio Diagnosis/Radiology,1
7263,Uttar Pradesh,Govt,"LLRM Medical College, Meerut","MD - Dermatology , Venereology & Leprosy",5
7264,Uttar Pradesh,Govt,"LLRM Medical College, Meerut",MD - Psychiatry,3
7265,Uttar Pradesh,Govt,"LLRM Medical College, Meerut",MD - Physiology,6
7266,Uttar Pradesh,Govt,"LLRM Medical College, Meerut",MS - General Surgery,17
