STATE,INSTITUTE,COURSE,QUOTA,FEE,BEDS,BOND YEARS,BOND PENALTY,STIPEND YEAR 1
Rajasthan,"SMS, Jaipur",ANAESTHESIOLOGY,AIQ,"₹ 14,093.00",5702,2,"₹ 50,00,000.00","₹ 87,216.00"
Maharashtra,"Sri Bhausaheb, Dhule",ANAESTHESIOLOGY,AIQ,"₹ 1,57,100.00",545,1,"₹ 50,00,000.00","₹ 93,559.00"
Andhra Pradesh,"SVIMS, Tirupati",ANAESTHESIOLOGY,AIQ,"₹ 1,75,000.00",1257,1,"₹ 40,00,000.00","₹ 96,951.00"
Maharashtra,"SRTT, Ambajogai",ANAESTHESIOLOGY,AIQ,"₹ 1,57,100.00",518,1,"₹ 50,00,000.00","₹ 93,559.00"
Tamil Nadu,"Stanley Med Coll, Chennai",ANAESTHESIOLOGY,AIQ,"₹ 50,000.00",1661,2,"₹ 40,00,000.00","₹ 54,025.00"
Kerala,"TD Med Coll, Allepey",ANAESTHESIOLOGY,AIQ,"₹ 69,470.00",1050,1,"₹ 50,00,000.00","₹ 57,876.00"
Maharashtra,"Tata Memorial, Mumbai",ANAESTHESIOLOGY,AIQ,"₹ 1,05,500.00",614,1,"₹ 25,00,000.00","₹ 1,05,840.00"
Assam,"Tezpur Med Coll, Tezpur",ANAESTHESIOLOGY,AIQ,"₹ 27,300.00",500,2,"₹ 20,00,000.00","₹ 55,200.00"
Tamil Nadu,Thanjavur Med Coll,ANAESTHESIOLOGY,AIQ,"₹ 50,000.00",1466,2,"₹ 40,00,000.00","₹ 54,025.00"
Tamil Nadu,Govt Theni Med Coll,ANAESTHESIOLOGY,AIQ,"₹ 50,000.00",940,2,"₹ 40,00,000.00","₹ 54,025.00"
Tamil Nadu,Govt Thiruvarur Med Coll,ANAESTHESIOLOGY,AIQ,"₹ 50,000.00",555,2,"₹ 40,00,000.00","₹ 54,025.00"
Tamil Nadu,Govt Thoothukudi Med Coll,ANAESTHESIOLOGY,AIQ,"₹ 50,000.00",1212,2,"₹ 40,00,000.00","₹ 54,025.00"
Tamil Nadu,Tirunelveli Med Coll,ANAESTHESIOLOGY,AIQ,"₹ 50,000.00",1737,2,"₹ 40,00,000.00","₹ 54,025.00"
Maharashtra,"Topiwala, Mumbai",ANAESTHESIOLOGY,AIQ,"₹ 1,57,100.00",1300,1,"₹ 50,00,000.00","₹ 93,559.00"
Delhi,"UCMS, Delhi",ANAESTHESIOLOGY,AIQ,"₹ 47,220.00",1000,1,"₹ 20,00,000.00","₹ 1,32,336.00"
Uttar Pradesh,"UP Univ of Med Sci, Etawah",ANAESTHESIOLOGY,AIQ,"₹ 24,000.00",1268,2,"₹ 40,00,000.00","₹ 1,10,646.00"
Delhi,"VMMC, Delhi",ANAESTHESIOLOGY,AIQ,"₹ 15,000.00",1550,1,"₹ 20,00,000.00","₹ 1,20,965.00"
Odisha,"VIMSAR, Burla",ANAESTHESIOLOGY,AIQ,"₹ 35,000.00",1071,2,"₹ 55,09,464.00","₹ 73,042.00"
Karnataka,"VIMS, Bellary",ANAESTHESIOLOGY,AIQ,"₹ 1,23,400.00",1295,1,"₹ 50,00,000.00","₹ 56,250.00"
Uttar Pradesh,"Govt Med Coll, Kannauj",ANAESTHESIOLOGY,AIQ,"₹ 24,000.00",470,2,"₹ 40,00,000.00","₹ 1,10,646.00"
Uttar Pradesh,"Rajkiya Med Coll, Jalaun",ANAESTHESIOLOGY,AIQ,"₹ 24,000.00",NA,2,"₹ 40,00,000.00","₹ 1,10,646.00"
Andhra Pradesh,"Government Med Coll, Nandyal",ANAESTHESIOLOGY,AIQ,"₹ 30,000.00",450,0,₹ 0.00,"₹ 60,823.00"
Assam,"Dr B Borooah, Guwahati",ANAESTHESIOLOGY,AIQ,"₹ 1,05,000.00",275,1,"₹ 25,00,000.00","₹ 1,05,840.00"
Chhattisgarh,"Government Med Coll, Korba",ANAESTHESIOLOGY,AIQ,"₹ 20,000.00",NA,2,"₹ 50,00,000.00","₹ 67,500.00"
Delhi,"IndianRailwayPGInst,New Delhi",ANAESTHESIOLOGY,AIQ,"₹ 16,200.00",NA,0,₹ 0.00,"₹ 1,10,533.00"
Jammu and Kashmir,"Government Med Coll,Anantnag",ANAESTHESIOLOGY,AIQ,"₹ 32,500.00",534,0,₹ 0.00,"₹ 63,240.00"
Jammu and Kashmir,"Government Medical Coll,Kathua",ANAESTHESIOLOGY,AIQ,"₹ 32,500.00",557,0,₹ 0.00,"₹ 63,240.00"
Karnataka,Chikkaballapura Inst of Med Sci,ANAESTHESIOLOGY,AIQ,"₹ 1,23,400.00",360,1,"₹ 50,00,000.00","₹ 56,250.00"
Karnataka,"Shri Atal Bihari Vajpayee, BLR",ANAESTHESIOLOGY,AIQ,"₹ 1,23,400.00",956,1,"₹ 50,00,000.00","₹ 56,250.00"
Kerala,"Govt Med Coll, Ernakulam",ANAESTHESIOLOGY,AIQ,"₹ 69,470.00",700,1,"₹ 50,00,000.00","₹ 57,876.00"
Kerala,"Govt Med Coll, Kollam",ANAESTHESIOLOGY,AIQ,"₹ 69,470.00",500,1,"₹ 50,00,000.00","₹ 57,876.00"
Madhya Pradesh,"Atal Bihari Vajpayee, Vidisha",ANAESTHESIOLOGY,AIQ,"₹ 1,01,500.00",300,1,"₹ 10,00,000.00","₹ 75,444.00"
Madhya Pradesh,"Govt Med Coll, Chhindwara",ANAESTHESIOLOGY,AIQ,"₹ 1,01,500.00",674,1,"₹ 10,00,000.00","₹ 75,444.00"
Madhya Pradesh,"Government Med Coll, Satna",ANAESTHESIOLOGY,AIQ,"₹ 1,01,500.00",NA,1,"₹ 10,00,000.00","₹ 75,444.00"
Maharashtra,"Govt Med Coll, Nandurbar",ANAESTHESIOLOGY,AIQ,"₹ 1,57,100.00",325,1,"₹ 50,00,000.00","₹ 93,559.00"
Maharashtra,"Rajiv Gandhi MC & CSMH, Thane",ANAESTHESIOLOGY,AIQ,"₹ 1,57,100.00",500,1,"₹ 50,00,000.00","₹ 93,559.00"
Odisha,"Govt Med Coll, Balasore",ANAESTHESIOLOGY,AIQ,"₹ 35,000.00",NA,2,"₹ 55,09,464.00","₹ 73,042.00"
